year,good_name,price,good_unit,income,affordable_monthly_quantity,affordable_yearly_quantity
1929-01,bacon,0.44,lb,700,133,1591
1929-02,bacon,0.44,lb,693.4166667,131,1576
1929-03,bacon,0.44,lb,686.8333333,130,1561
1929-04,bacon,0.44,lb,680.25,129,1546
1929-05,bacon,0.44,lb,673.6666667,128,1531
1929-06,bacon,0.44,lb,667.0833333,126,1516
1929-07,bacon,0.44,lb,660.5,125,1501
1929-07,bacon,0.44,lb,660.5,125,1501
1929-08,bacon,0.4392307692,lb,653.9166667,124,1489
1929-09,bacon,0.4384615385,lb,647.3333333,123,1476
1929-10,bacon,0.4376923077,lb,640.75,122,1464
1929-11,bacon,0.4369230769,lb,634.1666667,121,1451
1929-12,bacon,0.4361538462,lb,627.5833333,120,1439
1930-01,bacon,0.4353846154,lb,621,119,1426
1930-02,bacon,0.4346153846,lb,613.3333333,118,1411
1930-03,bacon,0.4338461538,lb,605.6666667,116,1396
1930-04,bacon,0.4330769231,lb,598,115,1381
1930-05,bacon,0.4323076923,lb,590.3333333,114,1366
1930-06,bacon,0.4315384615,lb,582.6666667,113,1350
1930-07,bacon,0.4307692308,lb,575,111,1335
1930-07,bacon,0.43,lb,575,111,1337
1930-08,bacon,0.4253846154,lb,567.3333333,111,1334
1930-09,bacon,0.4207692308,lb,559.6666667,111,1330
1930-10,bacon,0.4161538462,lb,552,111,1326
1930-11,bacon,0.4115384615,lb,544.3333333,110,1323
1930-12,bacon,0.4069230769,lb,536.6666667,110,1319
1931-01,bacon,0.4023076923,lb,529,110,1315
1931-02,bacon,0.3976923077,lb,518.5,109,1304
1931-03,bacon,0.3930769231,lb,508,108,1292
1931-04,bacon,0.3884615385,lb,497.5,107,1281
1931-05,bacon,0.3838461538,lb,487,106,1269
1931-06,bacon,0.3792307692,lb,476.5,105,1256
1931-07,bacon,0.3746153846,lb,466,104,1244
1931-07,bacon,0.37,lb,466,105,1259
1931-08,bacon,0.36,lb,455.5,105,1265
1931-09,bacon,0.35,lb,445,106,1271
1931-10,bacon,0.34,lb,434.5,106,1278
1931-11,bacon,0.33,lb,424,107,1285
1931-12,bacon,0.32,lb,413.5,108,1292
1932-01,bacon,0.31,lb,403,108,1300
1932-02,bacon,0.3,lb,400.75,111,1336
1932-03,bacon,0.29,lb,398.5,115,1374
1932-04,bacon,0.28,lb,396.25,118,1415
1932-05,bacon,0.27,lb,394,122,1459
1932-06,bacon,0.26,lb,391.75,126,1507
1932-07,bacon,0.25,lb,389.5,130,1558
1932-07,bacon,0.24,lb,389.5,135,1623
1932-08,bacon,0.2392307692,lb,387.25,135,1619
1932-09,bacon,0.2384615385,lb,385,135,1615
1932-10,bacon,0.2376923077,lb,382.75,134,1610
1932-11,bacon,0.2369230769,lb,380.5,134,1606
1932-12,bacon,0.2361538462,lb,378.25,133,1602
1933-01,bacon,0.2353846154,lb,376,133,1597
