Year,Median Home Price,Median Income,Interest Rate,Property Tax,Home Insurrance,Palma Ratio,Housing Affordability Delta,Productivity Gap Delta,Productivity,Pay,After Tax Annual Median Income,After Tax Monthly Housing Budget,Monthly Insurance and Property Tax,Monthly Housing Payment,Normalized Palma Ratio,Normalized Housing Affordability Delta,Normalized Productivity Gap Delta,Alpha,Beta
1913-01,2568.19,574,4.5,28.25,19.26,4.439753,1.2838,1,100,100,447.72,11.193,3.9592,14.36931317,0.5980203206,0.1240277189,0.07857142857,4.167394855,2.041371131
1913-02,2494.54,574.48,4.57,27.44,18.71,4.45056425,1.2534,1,100,100,448.0944,11.2024,3.8458,14.0405465,0.6011882161,0.1168623014,0.07857142857,4.162303758,2.026362275
1913-03,2599.4,574.96,4.64,28.59,19.5,4.4613755,1.3127,1,100,100,448.4688,11.2117,4.0075,14.71781061,0.6043561116,0.1308395795,0.07857142857,4.214297938,2.074147224
1913-04,2716,575.44,4.7,29.88,20.37,4.47218675,1.3774,1,100,100,448.8432,11.2211,4.1875,15.45646232,0.6075240071,0.146089662,0.07857142857,4.269728691,2.125712402
1913-05,2500.14,575.93,4.77,27.5,18.75,4.482998,1.2744,1,100,100,449.2254,11.2306,3.8542,14.31185613,0.6106919027,0.1218120964,0.07857142857,4.218434794,2.059880465
1913-06,2506.03,576.41,4.84,27.57,18.8,4.49380925,1.2839,1,100,100,449.5998,11.24,3.8642,14.43134379,0.6138597982,0.1240512893,0.07857142857,4.238736144,2.072803301
1913-07,2742.36,576.89,4.91,30.17,20.57,4.5046205,1.4121,1,100,100,449.9742,11.2494,4.2283,15.88518837,0.6170276937,0.1542686089,0.07857142857,4.334578437,2.168821173
1913-08,2645.38,577.37,4.98,29.1,19.84,4.51543175,1.369,1,100,100,450.3486,11.2587,4.0783,15.41322366,0.6201955892,0.144109744,0.07857142857,4.321405032,2.144921778
1913-09,2493.63,577.85,5.05,27.43,18.7,4.526243,1.297,1,100,100,450.723,11.2681,3.8442,14.61431884,0.6233634847,0.1271390185,0.07857142857,4.289839603,2.100791156
1913-10,2628.96,578.33,5.11,28.92,19.72,4.53705425,1.3731,1,100,100,451.0974,11.2774,4.0533,15.48537264,0.6265313803,0.1450761326,0.07857142857,4.35252534,2.160336818
1913-11,2506.03,578.81,5.18,27.57,18.8,4.5478655,1.3155,1,100,100,451.4718,11.2868,3.8642,14.84815028,0.6296992758,0.1314995522,0.07857142857,4.330124103,2.126286807
1913-12,2511.55,579.3,5.25,27.63,18.84,4.55867675,1.325,1,100,100,451.854,11.2964,3.8725,14.96759766,0.6328671713,0.1337387451,0.07857142857,4.350425454,2.139209644
1914-01,2608.56,579.78,5.32,28.69,19.56,4.569488,1.3829,1,100,100,452.2284,11.3057,4.0208,15.63509621,0.6360350668,0.1473860369,0.07857142857,4.401528672,2.186014533
1914-02,2336.2,580.26,5.39,25.7,17.52,4.557231083,1.2448,1,100,100,452.6028,11.3151,3.6017,14.08482242,0.6324435643,0.1148352425,0.07857142857,4.297479766,2.082227499
1914-03,2365.97,580.74,5.45,26.03,17.74,4.544974167,1.2659,1,100,100,452.9772,11.3244,3.6475,14.33517148,0.6288520618,0.1198086079,0.07857142857,4.294746091,2.089887219
1914-04,2522.27,581.22,5.52,27.74,18.92,4.53271725,1.3562,1,100,100,453.3516,11.3338,3.8883,15.37057027,0.6252605593,0.1410927262,0.07857142857,4.336051449,2.145989876
1914-05,2469.46,581.7,5.59,27.16,18.52,4.520460333,1.3343,1,100,100,453.726,11.3432,3.8067,15.13556628,0.6216690568,0.1359307972,0.07857142857,4.305952479,2.123547771
1914-06,2648.11,582.19,5.66,29.13,19.86,4.508203417,1.4379,1,100,100,454.1082,11.3527,4.0825,16.32456619,0.6180775543,0.1603497855,0.07857142857,4.355721987,2.188960992
1914-07,2494.46,582.67,5.73,27.44,18.71,4.4959465,1.3612,1,100,100,454.4826,11.3621,3.8458,15.46605138,0.6144860518,0.1422712488,0.07857142857,4.290748176,2.128156563
1914-08,2434.1,583.15,5.8,26.78,18.26,4.483689583,1.3348,1,100,100,454.857,11.3714,3.7533,15.17902456,0.6108945493,0.1360486494,0.07857142857,4.257785397,2.102564268
1914-09,2817.37,583.63,5.86,30.99,21.13,4.471432667,1.5512,1,100,100,455.2314,11.3808,4.3433,17.65434628,0.6073030468,0.1870551077,0.07857142857,4.379341073,2.246942274
1914-10,2601.25,584.11,5.93,28.61,19.51,4.45917575,1.4392,1,100,100,455.6058,11.3901,4.01,16.39314695,0.6037115443,0.1606562014,0.07857142857,4.291902265,2.161426347
1914-11,2645.81,584.59,6,29.1,19.84,4.446918833,1.471,1,100,100,455.9802,11.3995,4.0783,16.7686742,0.6001200418,0.1681516051,0.07857142857,4.295978094,2.176576522
