Year,Lowest fifth,Second fifth,Middle fifth,Fourth fifth,Highest fifth,Top 5 percent
2023,"17,650.00","47,590.00","80,730.00","129,400.00","297,300.00","526,200.00"
2022,"16,120.00","43,840.00","74,730.00","119,900.00","277,300.00","499,900.00"
2021,"14,860.00","41,020.00","70,880.00","115,500.00","269,400.00","480,200.00"
2020,"14,670.00","39,740.00","68,230.00","110,300.00","254,400.00","447,600.00"
2019,"15,290.00","40,650.00","68,940.00","111,100.00","254,400.00","451,100.00"
2018,"13,780.00","37,290.00","63,570.00","101,600.00","233,900.00","416,500.00"
2017,"13,330.00","35,500.00","61,350.00","99,010.00","229,000.00","406,400.00"
2016,"13,260.00","35,400.00","61,560.00","99,030.00","221,800.00","385,300.00"
2015,"12,940.00","34,500.00","59,150.00","95,180.00","213,900.00","375,100.00"
2014,"12,460.00","32,630.00","56,830.00","92,030.00","202,400.00","350,900.00"
2013,"11,680.00","31,090.00","54,040.00","87,830.00","194,100.00","332,300.00"
2012,"11,590.00","30,810.00","53,740.00","86,470.00","193,400.00","334,500.00"
2011,"11,650.00","30,510.00","52,320.00","83,520.00","185,200.00","322,300.00"
2010,"11,490.00","29,700.00","51,180.00","82,100.00","181,900.00","318,100.00"
2009,"11,240.00","29,200.00","49,840.00","80,080.00","178,000.00","311,400.00"
2008,"10,990.00","28,530.00","49,170.00","78,880.00","169,400.00","287,200.00"
2007,"11,550.00","29,260.00","49,530.00","78,690.00","170,800.00","295,400.00"
2006,"11,660.00","29,520.00","50,130.00","79,760.00","171,100.00","294,700.00"
2005,"11,550.00","29,440.00","49,970.00","79,110.00","168,000.00","287,200.00"
2004,"11,350.00","28,780.00","48,220.00","76,330.00","168,200.00","297,400.00"
2003,"10,660.00","27,360.00","46,300.00","72,830.00","159,600.00","281,200.00"
2002,"10,240.00","26,210.00","44,410.00","70,030.00","151,400.00","263,900.00"
2001,"9,996.00","25,680.00","43,590.00","68,990.00","147,100.00","253,200.00"
2000,"9,990.00","25,400.00","42,800.00","67,330.00","143,700.00","251,000.00"
1999,"10,140.00","25,470.00","42,630.00","66,840.00","146,000.00","260,500.00"
1998,"10,160.00","25,360.00","42,230.00","65,650.00","142,300.00","252,400.00"
1997,"9,915.00","24,350.00","40,750.00","63,420.00","135,300.00","235,100.00"
1996,"9,223.00","23,290.00","38,970.00","60,270.00","127,500.00","222,300.00"
1995,"8,839.00","22,100.00","37,180.00","57,580.00","122,800.00","215,400.00"
1994,"8,595.00","21,100.00","35,490.00","54,920.00","115,500.00","201,200.00"
1993,"8,345.00","20,400.00","34,110.00","52,430.00","109,400.00","188,800.00"
1992,"7,714.00","19,220.00","32,390.00","50,400.00","105,900.00","183,000.00"
1991,"7,359.00","18,660.00","31,270.00","48,600.00","101,300.00","173,800.00"
1990,"7,256.00","18,180.00","30,630.00","47,020.00","91,110.00","144,600.00"
1989,"7,226.00","18,150.00","30,150.00","45,960.00","88,130.00","137,500.00"
1988,"7,166.00","18,030.00","29,780.00","44,900.00","87,140.00","138,800.00"
1987,"6,994.00","17,400.00","28,930.00","43,750.00","85,530.00","138,200.00"
1986,"6,465.00","16,320.00","27,290.00","41,250.00","78,760.00","124,200.00"
1985,"6,132.00","15,580.00","26,060.00","39,380.00","74,900.00","118,000.00"
1984,"5,774.00","14,850.00","24,860.00","37,440.00","70,870.00","111,000.00"
1983,"5,614.00","14,230.00","23,620.00","35,520.00","66,350.00","102,400.00"
1982,"5,436.00","13,540.00","22,440.00","33,780.00","62,120.00","93,770.00"
1981,"5,053.00","12,690.00","20,990.00","31,490.00","57,820.00","87,360.00"
1980,"4,790.00","12,120.00","20,060.00","29,840.00","54,730.00","82,700.00"
1979,"4,602.00","11,460.00","18,990.00","28,310.00","50,570.00","75,140.00"
1978,"4,310.00","10,730.00","17,700.00","26,080.00","46,500.00","69,480.00"
1977,"4,006.00","9,964.00","16,430.00","24,110.00","43,270.00","65,980.00"
1976,"3,685.00","9,050.00","14,940.00","21,890.00","39,080.00","59,490.00"
1975,"3,335.00","8,209.00","13,580.00","19,900.00","35,480.00","54,280.00"
1974,"3,152.00","7,717.00","12,690.00","18,430.00","32,620.00","49,700.00"
1973,"2,909.00","7,146.00","11,720.00","17,040.00","30,080.00","45,640.00"
1972,"2,783.00","6,917.00","11,150.00","16,100.00","28,520.00","43,360.00"
1971,"2,539.00","6,384.00","10,470.00","15,060.00","26,950.00","41,520.00"
1970,"2,283.00","5,897.00","9,624.00","13,820.00","24,810.00","38,450.00"
1969,"2,092.00","5,529.00","8,965.00","12,750.00","22,580.00","34,640.00"
1968,"1,992.00","5,396.00","8,689.00","12,250.00","21,680.00","33,280.00"
1967,"1,932.00","5,216.00","8,335.00","11,680.00","20,520.00","31,590.00"
1966,"1,806.00","4,842.00","7,680.00","10,710.00","18,620.00","28,460.00"
1965,"1,600.00","4,433.00","7,077.00","9,902.00","17,820.00","28,110.00"
