year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Year Avg,Good Name,Good Unit,Source,Price Unit
2022,,,,,,,,,,,,,35248,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2021,,,,,,,,,,,,,34051,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2020,,,,,,,,,,,,,32728,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2019,,,,,,,,,,,,,32769,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2018,,,,,,,,,,,,,31883,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2017,,,,,,,,,,,,,30723,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2016,,,,,,,,,,,,,29476,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2015,,,,,,,,,,,,,27942,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2014,,,,,,,,,,,,,26739,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2013,,,,,,,,,,,,,25707,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2012,,,,,,,,,,,,,24523,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2011,,,,,,,,,,,,,23464,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2010,,,,,,,,,,,,,22677,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2009,,,,,,,,,,,,,22269,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2008,,,,,,,,,,,,,22040,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2007,,,,,,,,,,,,,21427,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2006,,,,,,,,,,,,,20517,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2005,,,,,,,,,,,,,19292,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2004,,,,,,,,,,,,,18604,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2003,,,,,,,,,,,,,17763,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2002,,,,,,,,,,,,,16826,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2001,,,,,,,,,,,,,16211,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
2000,,,,,,,,,,,,,15470,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1999,,,,,,,,,,,,,14616,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1998,,,,,,,,,,,,,13973,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1997,,,,,,,,,,,,,13344,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1996,,,,,,,,,,,,,12881,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1995,,,,,,,,,,,,,12243,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1994,,,,,,,,,,,,,11481,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1993,,,,,,,,,,,,,10952,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1992,,,,,,,,,,,,,10294,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1991,,,,,,,,,,,,,9759,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1990,,,,,,,,,,,,,9083,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1989,,,,,,,,,,,,,8396,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1988,,,,,,,,,,,,,7722,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1987,,,,,,,,,,,,,7116,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1986,,,,,,,,,,,,,6658,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1985,,,,,,,,,,,,,6121,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1984,,,,,,,,,,,,,5556,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1983,,,,,,,,,,,,,5093,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1982,,,,,,,,,,,,,4639,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1981,,,,,,,,,,,,,4113,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1980,,,,,,,,,,,,,3617,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1979,,,,,,,,,,,,,3225,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1978,,,,,,,,,,,,,2958,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1977,,,,,,,,,,,,,2700,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1976,,,,,,,,,,,,,2534,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1975,,,,,,,,,,,,,2291,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1974,,,,,,,,,,,,,2130,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1973,,,,,,,,,,,,,2045,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1972,,,,,,,,,,,,,1948,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1971,,,,,,,,,,,,,1832,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1970,,,,,,,,,,,,,1706,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1969,,,,,,,,,,,,,1562,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1968,,,,,,,,,,,,,1417,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
1963,,,,,,,,,,,,,1011,Private 4-Year Tuition,$ / Year,https://educationdata.org/average-cost-of-college-by-year,dollar
