year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Year Avg,Good Name,Good Unit,Source,Price Unit
1953,216425.31,215003.63,215003.63,216738.65,215923.84,215556.96,215059.12,215923.84,215864.58,215003.63,214454.4,215251.63,215517.44,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1954,215805.88,216491.49,218612.85,215251.63,215003.63,215995.61,215251.63,215251.63,215003.63,217548.21,217548.21,217797.13,216296.79,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1955,216364.29,218543.9,217797.13,218113.15,218862.71,217299.29,217363.7,217613.56,216364.29,217483.47,217979.46,218227.46,217667.700833333,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1956,214011.65,216496.04,213417.82,216552.65,217299.29,214245.21,214103.71,215805.88,213466.09,213951.3,214436.47,215462.44,214937.38,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1957,215187.6,212146.08,213043.37,215296.42,214142.83,212146.08,213656.02,214521.97,215133.84,213278.16,214031.79,212853.26,213786.451666667,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1958,211896.56,210973.23,210742.39,211786.7,211786.7,210475.77,211204.06,212169.04,212358.12,209785.66,210049.89,210280.72,211125.736666667,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1959,209325.58,207891.84,207385.25,210049.89,209555.62,208120.31,209523.24,210049.89,210245.73,208292.88,208065.97,207637.68,208845.32,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1960,207360.66,206660.12,206168.48,208065.97,208776.09,205758.62,205758.62,208065.97,206908.38,206168.48,206840.07,207561.51,207007.75,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1961,205273.14,205925.18,206795.35,205720.75,206168.48,205016.39,205720.75,206168.48,205944.62,206350.61,205238.76,205238.76,205796.77,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1962,205204.95,205848.61,204732.59,205886.69,207017.61,205848.61,206530.22,205886.69,206309.33,204732.59,204513.14,204952.03,205621.92,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1963,206248.47,204904.83,205737.52,204952.03,204952.03,204904.83,205138.54,205373.68,205811.13,205539.12,204239.56,204904.83,205225.55,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1964,205737.52,205934.53,206324.97,206385.09,205737.52,204628.85,204858.65,206385.09,204873.94,206324.97,206344.88,205915.87,205787.66,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1965,205223.15,204135.38,205788.37,207607.77,207607.77,204135.38,203713.26,206305.09,205010.8,205806.21,204754.09,204135.38,205351.89,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1966,203015.86,200940.51,201341.04,204710.67,206417.72,202792.86,203212.86,204072.94,203428.94,200529.96,200529.96,200940.51,202661.15,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1967,199519.85,199925.34,199927.7,201341.04,201341.04,199325.62,199924.19,199315.93,200124.5,199532.44,199530.66,199330.33,199928.22,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1968,197409.62,196312.6,198809.07,198954.19,198559.47,196301.65,196664.07,197985.16,196257.33,197674.73,195967.01,195753.3,197220.683333333,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1969,198103.05,198862.48,200301.42,199006.51,199187.57,198674.29,197937.33,199015.78,198475.08,200124.51,200303.32,199764.88,199146.35,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1970,201337.32,204058.57,205320.35,202055.48,201712.77,202177.07,202703.41,202045.41,202371.16,205178.16,205034.46,205059.55,203254.48,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1971,204449.73,205519.98,207266.03,204805.76,205823.19,205369.38,205546.59,204293.74,204924.83,207790.23,206159.24,206010.5,205663.27,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1972,206554.2,208860.06,206402.88,207392.94,207915.21,208562.54,207483.2,206730.85,206699.05,206732.35,207063.36,208205.5,207383.511666667,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1973,200889.46,196722.52,196370.32,204011.87,205448.57,198468.08,199068.03,202281.3,199972.52,196345.8,196759.84,197025.18,199446.96,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1974,194843.44,191719.28,192412.53,195319.21,196259.39,192292.37,192909.09,194960.87,193398.76,190927.8,190986.35,191291.56,193110.05,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1975,193499.53,191099.23,192148.83,194152.95,195318.89,190322.32,191423.39,193912.89,192983.76,192297.52,192334.05,191967.19,192621.71,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1976,194767.49,196060.95,198161.7,192184.01,192505.88,195814.35,195238.97,193526.2,195669.71,197206.21,196405.99,196785.66,195360.593333333,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1977,202433.52,206598.37,212930.57,199076.19,198784.07,205195.94,204106.71,200567.33,203917.76,211705.6,210559.4,208621.43,205374.74,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1978,217118.14,222243.79,226027.09,214723.83,213700.84,220352.85,218960.19,215997.14,218051.98,224373.95,223036.19,222886.38,219789.36,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1979,228277.8,228803.27,226952.49,227229.65,227037.09,228691.22,228659.19,227934.04,228327.88,227970.25,228453.4,228266.24,228050.21,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1980,221149.65,220676.28,216640.62,223023.48,224877.38,220986.74,219462.41,221557.83,220537.77,217805.6,218724.87,219901.77,220445.37,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1981,214479.48,211991.87,209014.91,214209.28,215559.53,212521.45,213769.16,214026.73,214287.66,209516.5,210176.51,210342.31,212491.28,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1982,207665.05,201816.61,202452.54,208166.08,208490.91,202321.47,203418.33,208271.29,205983.18,201285.1,200862.86,201474.25,204350.64,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1983,203997.97,204800.27,204309.87,203560.04,202713.92,204508.16,204164.53,204403.41,203783.19,203978.46,204103.24,204327.34,204054.20,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1984,204036.05,205846.58,205740.0,203358.02,203699.75,205650.96,205310.12,203888.06,204725.56,205296.32,205265.7,205472.45,204857.464166667,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1985,206842.69,210717.67,213027.59,206015.16,206056.23,209662.71,208558.92,206410.34,207648.12,212483.22,211909.91,211495.09,209235.64,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1986,220612.68,226830.21,230961.48,215573.87,213719.66,225291.4,223077.13,218197.06,222098.24,229481.59,228546.72,227478.58,223489.05,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1987,232270.94,236874.55,238577.28,231525.23,230909.28,236424.63,235048.19,231699.76,233497.09,237701.26,237240.23,236881.99,234887.54,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1988,240066.52,244342.87,244951.15,239322.32,238783.68,243674.46,242597.62,239702.27,241371.05,244648.63,244037.93,244019.01,242293.13,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1989,244969.89,246565.6,244335.3,245010.79,244858.34,246214.13,245686.39,245064.03,244980.43,244803.4,245288.73,246253.45,245335.873333333,House (adjusted),$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
