year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Year Avg,Good Name,Good Unit,Source,Price Unit
1953,18122.25,18206.25,18206.25,18080.26,18080.26,18185.25,18143.25,18080.26,18143.25,18206.25,18227.25,18227.25,18159.00,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1954,18206.25,18332.24,18374.24,18227.25,18206.25,18290.25,18227.25,18227.25,18206.25,18353.24,18353.24,18374.24,18281.50,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1955,18185.25,18437.24,18374.24,18332.24,18395.24,18332.24,18269.25,18290.25,18185.25,18416.24,18458.24,18479.24,18346.24,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1956,18122.25,18605.23,18542.24,18269.25,18332.24,18479.24,18332.24,18206.25,18143.25,18521.24,18563.24,18584.23,18391.74,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1957,18899.22,18899.22,19046.22,18773.23,18605.23,18899.22,18899.22,18773.23,18962.22,19067.21,19067.21,18962.22,18904.47,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1958,19277.21,19193.21,19172.21,19067.21,19067.21,19214.21,19214.21,19235.21,19319.2,19151.21,19109.21,19130.21,19179.21,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1959,19109.21,19109.21,19193.21,19109.21,19130.21,19130.21,19193.21,19109.21,19193.21,19277.21,19256.21,19151.21,19163.46,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1960,19256.21,19256.21,19340.2,19256.21,19256.21,19172.21,19172.21,19256.21,19214.21,19340.2,19403.2,19340.2,19271.9566666667,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1961,19256.21,19382.2,19529.2,19298.2,19340.2,19361.2,19298.2,19340.2,19319.2,19487.2,19382.2,19382.2,19364.7008333333,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1962,19508.2,19634.19,19592.19,19508.2,19550.19,19634.19,19634.19,19508.2,19613.19,19592.19,19571.19,19613.19,19579.9425,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1963,19802.18,19802.18,20012.18,19613.19,19613.19,19802.18,19760.19,19718.19,19760.19,19928.18,19802.18,19802.18,19784.68,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1964,20012.18,20096.17,20264.17,20075.17,20012.18,20033.17,19991.18,20075.17,19928.18,20264.17,20201.17,20159.17,20092.67,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1965,20285.16,20306.16,20600.15,20390.16,20390.16,20306.16,20264.17,20327.16,20264.17,20537.15,20432.16,20306.16,20367.41,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1966,20642.15,20684.15,20852.14,20621.15,20663.15,20747.15,20726.15,20621.15,20684.15,20768.14,20768.14,20684.15,20705.15,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1967,20789.14,21083.13,21335.12,20852.14,20852.14,20957.14,20957.14,20705.15,20915.14,21230.13,21167.13,21083.13,20993.89,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1968,21377.12,21629.11,22217.08,21419.12,21314.12,21566.11,21482.11,21377.12,21314.12,22028.09,21776.1,21629.11,21594.11,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1969,22637.07,23162.05,23771.02,22427.08,22322.08,23015.05,22805.06,22616.07,22742.06,23624.03,23519.03,23330.04,22997.55,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1970,24400.99,25051.97,25723.94,24170.0,24002.01,24820.98,24757.98,24296.0,24589.99,25576.95,25429.95,25303.96,24843.7266666667,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1971,25807.94,26395.91,26815.9,25723.94,25786.94,26311.92,26269.92,25723.94,25996.93,26752.9,26542.91,26458.91,26215.6716666667,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1972,26983.89,27613.86,27613.86,26962.89,26899.89,27508.87,27235.88,26941.89,27067.88,27592.86,27571.86,27592.86,27298.87,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1973,27571.86,27928.85,28558.82,27550.86,27550.86,27676.86,27697.86,27571.86,27634.86,28369.83,28243.84,28033.84,27865.85,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1974,29440.79,30175.76,31435.7,29020.8,28789.81,29902.77,29755.77,29335.79,29587.78,30952.72,30721.73,30469.74,29965.7633333333,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1975,32222.41,32664.89,33570.14,32086.75,32033.5,32472.18,32298.49,32169.16,32318.77,33475.05,33239.23,32994.54,32628.7591666667,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
1976,34395.51,35426.27,36304.89,33757.78,33693.12,35196.79,34908.99,34054.46,34801.22,36005.68,35797.75,35681.11,35001.96,House,$ / Avg House,https://dqydj.com/historical-home-prices/,dollar
